gene_name	Control_Rep.A	Control_Rep.B	Treat1_Rep.A	Treat1_Rep.B	Treat2_Rep.A	Treat2_Rep.B	Treat3_Rep.A	Treat3_Rep.B
C1_07460C_A	10.06204614	10.15355203	9.920352855	10.01262454	10.99576715	11.07079181	11.12088584	10.87113518
C1_07470C_A	8.233619677	8.768184325	8.820178962	8.836050355	9.5980525	9.779719355	8.266786541	8.422064766
C1_07480C_A	5.807354922	5.247927513	5.129283017	6.321928095	7.948367232	7.982993575	6.906890596	6.727920455
C1_07490C_A	8.262094845	9.353146825	10.40407714	10.80976813	10.86959384	10.90086681	10.80654962	11.06406908
C1_07500C_A	10.63843591	11.10590851	11.23002044	10.54303182	11.30263892	11.23900176	10.73301532	10.99929539
C1_07510W_A	9.259743264	9.560332834	10.00702727	9.618385502	10.43775207	10.37395266	9.361943774	9.385862401
C1_07520C_A	10.2227949	9.491853096	9.008428622	9.216745858	10.2737956	10.17617315	10.17617315	10.41362793
C1_07530W_A	0	0	0	0	0	0	0	0
C1_07540C_A	11.68343329	10.73386272	10.28193003	11.36686859	11.75196241	11.91139199	11.49535539	11.73216743
C1_07550W_A	10.08480839	10.16867212	9.890264277	10.26912668	10.56319627	10.64295422	10.75321675	10.51963625
C1_07560W_A	7.900866808	7.794415866	8.447083226	8.939579214	9.967226259	9.927777962	9.144658243	8.906890596
C1_07570C_A	7.87036472	8.076815597	8.276124405	7.50779464	9.422064766	9.317412614	8.299208018	8.335390355
C1_07580C_A	2.807354922	1	4.247927513	4.64385619	6.392317423	6.686500527	3.321928095	3.459431619
C1_07590C_A	10.169925	9.917372079	9.773139207	9.972979786	10.52356196	10.33650656	10.215533	10.50183718
C1_07600W_A	12.07815081	12.25000227	11.75405237	11.56033283	11.94068065	11.71596199	11.85252951	12.03651707
C1_07610C_A	6.357552005	6.022367813	7.044394119	7.159871337	8.957102042	8.95419631	7.930737338	8.17990909
C1_07620C_A	3.321928095	3.584962501	4.523561956	4.906890596	6.426264755	6.672425342	3.807354922	3.700439718
C1_07630W_A	10.97871046	11.16804527	10.6926155	10.10590851	10.76983784	10.77313921	10.2632692	10.14847658
C1_07640C_A	5.781359714	5.087462841	3.807354922	4	5.930737338	6.357552005	4.64385619	5.169925001
C1_07650W_A	5.392317423	4.95419631	5.392317423	5.64385619	6	6.108524457	3.459431619	4.321928095
C1_07660W_A	5.64385619	5.977279923	6.569855608	6.459431619	8.252665432	8.13442632	6.357552005	7.247927513
C1_07670W_A	2.321928095	1.584962501	3.169925001	1.584962501	7.73470962	7.693486957	4.807354922	5.459431619
C1_07680W_A	8.154818109	8.768184325	9.164906927	8.611024797	9.415741768	9.4325419	9.364134655	9.204571144
C1_07690C_A	9.972979786	9.726218159	10.81618368	10.92109709	11.2848241	11.10852446	10.36632221	10.9225844
C1_07700C_A	10.30833903	11.42311591	11.97333862	11.51076417	10.666224	10.56319627	10.6411486	11.07347215
C1_07710C_A	11.92592526	12.80695233	11.67860014	10.64655871	11.68737568	11.62935662	10.08613623	10.41785251
C1_07770W_A	5.906890596	6.169925001	6.832890014	7.055282436	7.076815597	7.022367813	4.700439718	5.044394119
C1_07780W_A	10.72621816	10.57080444	10.49785184	10.71767642	11.31061278	11.35700209	10.70043972	10.74651432
C1_07790C_A	6.584962501	8.330916878	9.73470962	9.136991112	10.38694025	10.27612441	8.209453366	8.118941073
C1_07800W_A	7.888743249	8.479780264	9.310612782	9.588714636	10.56510208	10.63843591	8.810571635	8.930737338
C1_07810C_A	8.751544059	8.607330314	8.060695932	8.233619677	8.503825738	8.751544059	9.640244936	9.294620749
C1_07820W_A	9.164906927	8.968666793	9.144658243	9.063395081	10.07012094	10.05934446	10.18735207	9.987264012
C1_07830C_A	8.303780748	8.214319121	8.247927513	8.463524373	9.481799432	9.335390355	8.77148947	8.820178962
C1_07840W_A	11.69522829	11.12023788	10.35645197	10.76071995	11.68606275	11.69957245	10.73724734	10.7903485
C1_07850C_A	7.417852515	7.882643049	8.962896005	9.269126679	9.912889336	9.930737338	10.12023788	9.95419631
C1_07860W_A	5.727920455	6.303780748	7.8008999	8.321928095	8.918863237	8.807354922	8.909893084	8.897845456
C1_07870C_A	13.3693247	12.46836949	11.96866679	12.0175044	12.0768156	12.17586138	12.40087944	12.27961058
C1_07880C_A	11.63208641	11.10459875	11.10394343	10.50382574	12.15196787	12.12734954	11.76487159	11.77807713
C1_07890C_A	13.2816403	13.68551534	11.73555602	10.71681946	11.68387187	11.7232343	10.99010396	10.91438513
C1_07900W_A	9.791162889	9.548821908	9.52160044	8.422064766	6.727920455	6.62935662	7.768184325	7.577428828
C1_07910C_A	9.157346935	10.75321675	11.15671514	10.85642553	10.73216743	10.72109919	9.779719355	10.27612441
C1_07920W_A	10.04439412	10.16490693	9.392317423	9.027905997	9.202123824	9.14974712	9.027905997	8.77478706
C1_07930C_A	8.21916852	8.262094845	8.491853096	8.569855608	8.784634846	8.357552005	7.876516947	8.499845887
C1_07940W_A	3.700439718	3.169925001	2.584962501	5.044394119	6.882643049	6.857980995	3	2.807354922
C1_07950C_A	7	8.21916852	9.071462363	8.129283017	9.353146825	9.396604781	8.599912842	8.554588852
C1_07960W_A	6.129283017	7.257387843	8.700439718	7.936637939	9.116343961	8.942514505	8.303780748	8.50779464
C1_07970C_A	10.50183718	10.14847658	10.26795708	11.71639079	11.32979634	11.32923574	10.85330956	10.89784546
C1_07980C_A	7.159871337	6.321928095	4	5.169925001	6.906890596	6.672425342	6.475733431	5.614709844
C1_07990C_A	7.845490051	7.22881869	8.044394119	9.273795599	8.820178962	8.77807713	10.15355203	9.62388149
C1_08000W_A	7.055282436	7.8008999	8.686500527	8.791162889	9.21916852	9.271463028	7.658211483	7.948367232
C1_08010W_A	11.90162116	11.73851453	11.9199806	11.84313591	13.53040634	13.60339453	13.45802205	13.2477792
C1_08020W_A	10.08746284	10.57553925	11.37014248	11.6105635	11.56462586	11.59851781	11.82456103	11.64790807
C1_08030W_A	12.41706135	12.06305796	12.46352437	12.17554955	12.99717948	13.06558443	13.00825353	12.54399845
C1_08040W_A	7.977279923	7.276124405	6.108524457	6.357552005	7.276124405	7.62935662	9.068778278	8.573647187
C1_08050W_A	11.62113611	11.87075	11.42469119	11.21856324	10.54592977	10.61378946	11.32811389	11.18858885
C1_08060W_A	11.91587938	11.22580994	11.20762447	10.53138146	9.079484784	8.991521846	10.05934446	9.761551232
C1_08070W_A	14.15363119	12.50382574	10.44501485	12.00842862	11.12153352	11.15734694	10.03891899	11.00912879
C1_08080C_A	10.53332973	10.51076417	9.847057346	9.744833837	9.37286506	9.434628228	9.900866808	9.611024797
C1_08090C_A	13.3376219	13.79583674	13.84549005	13.46365208	13.40965611	13.52160044	12.27466934	12.13602985
C1_08100W_A	11.44035012	11.83447105	12.77930897	12.20853921	11.86495992	11.92035286	11.77725532	11.33091688
C1_08110W_A	11.67109873	12.19567979	12.92518352	12.47218312	12.76341987	12.85077286	11.88455213	11.81257844
C1_08120W_A	10.48683502	10.41256985	11.40992124	11.65508345	11.93737382	12.0317012	11.4943556	11.2467406
C1_08130C_A	8.781359714	7.971543554	9.25502857	9.899356923	10.32867493	10.45224124	9.337621902	9.440869168
C1_08140W_A	9.092757141	8.991521846	9.832890014	9.992938336	10.31288296	10.40194612	10.08214904	9.695228291
C1_08150C_A	6.832890014	7.022367813	7.357552005	7.672425342	8.791162889	8.727920455	8.596189756	8.294620749
C1_08160W_A	10.62021983	10.65374078	10.89708913	10.8008999	11.28424575	11.37395266	11.27146303	11.03617361
C1_08170C_A	9.224001674	9.144658243	13.31755394	11.99152185	10.38909352	10.51963625	10.78053977	10.96938652
C1_08180C_A	11.88569637	11.3089078	11.75863964	11.88111396	12.70217269	12.83585304	13.01820018	12.82694565
C1_08190C_A	7.523561956	7.882643049	9.430452552	5.614709844	9.283088353	9.257387843	7.285402219	7.392317423
C1_08200W_A	8.139551352	8.471675214	8.483815777	8.28077077	9.558420713	9.54303182	7.238404739	7.17990909
C1_08210C_A	10.58120058	11.4152136	11.97405602	11.32923574	12.14784089	12.23601419	11.08480839	11.0986901
C1_08220W_A	11.50233458	11.43931146	11.72834571	12.11080953	12.15860969	12.21492619	11.80574387	11.89443885
C1_08230C_A	9.719388821	8.321928095	7.727920455	7.942514505	9.124121312	9.202123824	12.35837648	11.89026428
C1_08240C_A	10.56224242	9.306061689	10.63026713	10.08613623	7.22881869	7.321928095	8.204571144	8.64385619
C1_08260C_A	10.76901132	10.51569984	10.35424938	9.712527	9.469641817	9.573647187	10.16741815	9.99859043
C1_08270C_A	10.74986943	10.88340699	11.24911345	11.84470576	11.56319627	11.72195361	11.02236781	11.00422047
C1_08290C_A	9.245552706	10.33315535	11.4236412	10.62753388	10.88187871	10.9432474	9.319672121	9.505811554
C1_08300W_A	10.42416629	10.80735492	10.94836723	11.25207404	11.19537221	11.33985	10.65463603	10.82972274
C1_08310W_A	7.982993575	8.77148947	8.675957033	9.084808388	10.19967234	10.26561505	9.721099189	9.509775004
C1_08320W_A	14.38032577	14.17874265	13.86186234	13.8625405	14.27452376	14.40201277	14.1585308	13.80160733
C1_08330C_A	13.04080341	12.27786855	13.16788851	13.12734954	9.816983623	9.908392621	13.61229259	13.32051852
C1_08340C_A	9.214319121	8.383704292	7.54689446	7.266786541	9.087462841	9.016808288	9.348728154	9.511752654
C1_08350C_A	14.53253856	13.92527626	12.95873395	13.74273048	8.17990909	8.430452552	12.38828642	12.13699111
C1_08360C_A	15.72619155	15.55812172	15.65974509	15.1205214	12.96830679	13.05562137	14.40141288	13.75551354
C1_08370W_A	13.45095346	13.10623576	9.857980995	9.682994584	11.75988818	11.87958325	11.60037755	11.48582931
C1_08380W_A	14.90811111	14.90378772	14.73359796	14.50096633	13.27830425	13.42140741	14.19421821	13.67683861
C1_08390C_A	10.57837269	10.58402294	11.10131915	11.20028561	11.24257869	11.37340896	11.45172627	11.06541613
C1_08400C_A	12.60848586	13.89187861	9.804131021	7.794415866	9.440869168	9.457380879	8.754887502	8.503825738
C1_08410C_A	12.9893945	13.44151772	13.44566153	11.75739001	12.12023788	12.19260105	11.51963625	11.32023645
C1_08420W_A	11.69435789	11.57931594	11.93700593	11.4767462	11.46301341	11.51076417	10.53915881	10.55554777
C1_08430W_A	13.23376945	11.7561393	11.21127995	10.97297979	10.63117706	10.69087101	10.68211676	10.60825482
C1_08440C_A	6.807354922	8.082149041	8.607330314	8.184875343	8.422064766	8.335390355	9.355351096	9.033423002
C1_08450C_A	11.09539702	11.3777528	11.50481899	11.00982862	11.40087944	11.40726776	11.9162527	11.64024494
C1_08460C_A	13.36864287	12.4314976	12.7679775	12.27321281	10.24792751	10.27844946	9.749869427	9.987264012
C1_08470W_A	9.862637358	9.64385619	9.584962501	8.77478706	8.971543554	9.041659152	8.45532722	8.569855608
